Kraj_odlotu;Data;Przewoznik;Czy_przesiadka;Cena;Godzina_odlotu;Miejsce_odlotu;Godzina_przylotu;Miejsce_przylotu
Scotland; 01/05/19; Ryanair; 1; 9 zł; 06:50; Edinburgh EDI; 17:25; Strasbourg SXB
Scotland; 08/05/19; Ryanair; 1; 2 zł; 45 St; asbourg SXB; 17:25; Strasbourg SXB FR7117
Scotland; 08/05/19; easyJet; 1; 5 zł; 10:45; Strasbourg SXB; 22:10; Edinburgh EDI
Scotland; 10/05/19; easyJet; 1; 5 zł; 50 Ed; nburgh EDI; 22:10; Edinburgh EDI U2241
Scotland; 14/05/19; easyJet; 1; 4 zł; 13:10; London STNLondon (Stansted) STN; 08:25; London STNLondon (Stansted) STN FR8882
Scotland; 14/05/19; easyJet; 1; 5 zł; 50 Na; tes NTE; 15:30; Nantes NTE FR8503
Scotland; 24/04/19; easyJet; 1; 3 zł; 20:55; London STNLondon (Stansted) STN; 16:10; London STNLondon (Stansted) STN FR8504
Scotland; 01/05/19; easyJet; 1; 29 zł; 06:25; Edinburgh EDI; 14:55; Beziers BZR
Scotland; 01/05/19; Ryanair; 1; 2 zł; 12:05; London STNLondon (Stansted) STN; 07:55; London STNLondon (Stansted) STN U2232
Scotland; 30/04/19; Ryanair; 1; 2 zł; 09:45; Beziers BZR; 15:10; Edinburgh EDI
Scotland; 08/05/19; easyJet; 1; 4 zł; 45 Gl; sgow GLA; 15:10; Edinburgh EDI U215
Scotland; 08/05/19; easyJet; 1; 0 zł; 11:45; Glasgow GLA; 21:45; Manchester MAN
Scotland; 02/10/19; easyJet; 1; 09 zł; 30 Ma; chester MAN; 21:45; Manchester MAN FR3223
Scotland; 08/10/19; Ryanair; 1; 8 zł; 17:45; Belfast BFS; 07:35; Belfast BFS FR7276
Scotland; 08/10/19; easyJet; 1; 1 zł; 50 Ed; nburgh EDI; 18:30; Glasgow GLA U2465
Scotland; 09/05/19; easyJet; 1; 5 zł; 11:25; London STNLondon (Stansted) STN; 08:25; London STNLondon (Stansted) STN FR8882
Scotland; 15/05/19; Ryanair; 1; 4 zł; 14:30; Aarhus AAR; 22:10; Edinburgh EDI
Scotland; 15/05/19; Ryanair; 1; 4 zł; 20:55; London STNLondon (Stansted) STN; 15:10; London STNLondon (Stansted) STN FR713
Scotland; 15/05/19; Ryanair; 1; 1 zł; 07:00; Edinburgh EDI; 17:10; Carcassonn CCF
Scotland; 20/05/19; easyJet; 1; 4 zł; 35 Ca; cassonn CCF; 17:10; Carcassonn CCF FR72
Scotland; 20/05/19; Ryanair; 1; 4 zł; 13:35; Carcassonn CCF; 18:05; Edinburgh EDI
Scotland; 01/05/19; Ryanair; 1; 4 zł; 50 Ed; nburgh EDI; 18:05; Edinburgh EDI FR7353
Scotland; 09/05/19; Ryanair; 1; 1 zł; 45 Mi; an BGYMilan (Bergamo) BGY; 23:15; Milan BGYMilan (Bergamo) BGY FR5834
Scotland; 09/05/19; easyJet; 1; 4 zł; 17:45; Milan BGYMilan (Bergamo) BGY; 22:10; Edinburgh EDI
Scotland; 09/05/19; easyJet; 1; 4 zł; 25 Ed; nburgh EDI; 22:10; Edinburgh EDI U26984
Scotland; 15/05/19; Ryanair; 1; 4 zł; 08:45; London STNLondon (Stansted) STN; 07:55; London STNLondon (Stansted) STN U2232
Scotland; 15/05/19; Ryanair; 1; 1 zł; 10 Mi; an MXPMilan (Malpensa) MXP; 11:40; Milan MXPMilan (Malpensa) MXP FR8729
Scotland; 08/05/19; easyJet; 1; 4 zł; 16:05; London STNLondon (Stansted) STN; 08:15; London STNLondon (Stansted) STN FR8728
Scotland; 15/05/19; Ryanair; 1; 9 zł; 15:45; Aberdeen ABZ; 22:00; Barcelona GROBarcelona (Girona) GRO
Scotland; 15/05/19; Ryanair; 1; 2 zł; 18:55; London LTNLondon (Luton) LTN; 17:05; London LTNLondon (Luton) LTN U2148
Scotland; 24/09/19; Ryanair; 1; 9 zł; 11:40; Barcelona GROBarcelona (Girona) GRO; 18:10; Aberdeen ABZ
Scotland; 02/10/19; easyJet; 1; 5 zł; 40 Ed; nburgh EDI; 18:10; Aberdeen ABZ FR1523
Scotland; 02/10/19; Ryanair; 1; 4 zł; 08:40; Edinburgh EDI; 11:45; Basel-Mulh BSLBasel-Mulhouse-Freiburg (BSL) BSL
Scotland; 15/05/19; Ryanair; 1; 4 zł; 13:50; Basel-Mulh BSLBasel-Mulhouse-Freiburg (BSL) BSL; 20:30; Edinburgh EDI
Scotland; 21/05/19; Ryanair; 1; 2 zł; 35 Ed; nburgh EDI; 20:30; Edinburgh EDI U219
Scotland; 21/05/19; easyJet; 1; 4 zł; 11:35; Edinburgh EDI; 15:05; Beziers BZR
Scotland; 15/05/19; easyJet; 1; 5 zł; 09:45; Beziers BZR; 15:10; Edinburgh EDI
Scotland; 19/05/19; Ryanair; 1; 9 zł; 30 Ed; nburgh EDI; 15:10; Edinburgh EDI U215
Scotland; 19/05/19; Ryanair; 1; 2 zł; 06:30; Edinburgh EDI; 22:25; Faro FAO
