Scrap_date;Scrap_time;Country_from;Country_to;Flight_id;Flight_date;Airline;Change;Price;Depart_hour;Depart_from;Arrival_hour;Arrive_to
04/19;Ryanair;1;5.76;11:25;London STNLondon (Stansted) STN;08:15;London STNLondon (Stansted) STN FR7383
2019-04-23;12:44;Denmark;Denmark;2;27/06/19;Ryanair;1;14.60;14:25;London STNLondon (Stansted) STN;10:55;London STNLondon (Stansted) STN FR5173
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;11.53;14:30;Aarhus AAR;22:10;Billund BLL
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;14.60;19:35;London STNLondon (Stansted) STN;15:10;London STNLondon (Stansted) STN FR713
2019-04-23;12:44;Denmark;Denmark;2;23/05/19;Ryanair;1;20.76;10:20;Billund BLL;15:10;Aalborg AAL
2019-04-23;12:44;Denmark;Denmark;2;18/05/19;Ryanair;1;14.60;35 Aa;borg AAL;15:10;Aalborg AAL FR1251
2019-04-23;12:44;Denmark;Denmark;2;18/05/19;Ryanair;1;14.99;15:35;Aalborg AAL;22:10;Billund BLL
2019-04-23;12:44;Denmark;Denmark;2;23/05/19;Ryanair;1;14.60;20 Bi;lund BLL;22:10;Billund BLL FR5178
2019-04-23;12:44;Denmark;Denmark;2;13/05/19;Ryanair;1;20.76;12:35;London STNLondon (Stansted) STN;10:55;London STNLondon (Stansted) STN FR5173
2019-04-23;12:44;Denmark;Denmark;2;13/05/19;Ryanair;1;14.60;15 Aa;borg AAL;15:10;Aalborg AAL FR1251
2019-04-23;12:44;Denmark;Denmark;2;21/05/19;Ryanair;1;14.99;19:35;London STNLondon (Stansted) STN;11:00;London STNLondon (Stansted) STN FR1252
2019-04-23;12:44;Denmark;Denmark;2;13/05/19;Ryanair;1;17.81;12:55;Aarhus AAR;20:50;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;13/05/19;Ryanair;1;17.29;19:40;Berlin TXLBerlin (Tegel) TXL;14:10;Berlin TXLBerlin (Tegel) TXL U25678
2019-04-23;12:44;Denmark;Denmark;2;21/05/19;Ryanair;1;12.86;07:30;Copenhagen CPH;11:45;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;17.29;55 Bi;lund BLL;11:45;Aarhus AAR U25677
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;17.81;08:55;Billund BLL;14:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;13/05/19;Ryanair;1;17.29;30 Aa;hus AAR;14:05;Aarhus AAR FR712
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;12.86;19:35;London STNLondon (Stansted) STN;18:10;London STNLondon (Stansted) STN FR713
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;17.29;55 Bi;lund BLL;22:10;Billund BLL FR5178
2019-04-23;12:44;Denmark;Denmark;2;13/05/19;Ryanair;1;17.81;11:25;London STNLondon (Stansted) STN;09:30;London STNLondon (Stansted) STN FR9770
2019-04-23;12:44;Denmark;Denmark;2;13/05/19;Ryanair;1;17.29;14:35;Aarhus AAR;22:10;Billund BLL
2019-04-23;12:44;Denmark;Denmark;2;13/05/19;Ryanair;1;12.86;19:35;London STNLondon (Stansted) STN;15:15;London STNLondon (Stansted) STN FR713
2019-04-23;12:44;Denmark;Denmark;2;21/05/19;Ryanair;1;17.29;10:20;Billund BLL;17:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;13/05/19;Ryanair;1;12.86;35 Aa;hus AAR;17:05;Aarhus AAR FR712
2019-04-23;12:44;Denmark;Denmark;2;13/05/19;Ryanair;1;17.29;14:35;Aarhus AAR;22:10;Billund BLL
2019-04-23;12:44;Denmark;Denmark;2;21/05/19;Ryanair;1;17.81;55 Aa;hus AAR;22:10;Billund BLL FR5178
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;17.29;19:40;Berlin TXLBerlin (Tegel) TXL;14:10;Berlin TXLBerlin (Tegel) TXL U25678
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;12.86;15 Co;enhagen CPH;20:50;Copenhagen CPH U25687
2019-04-23;12:44;Denmark;Denmark;2;13/05/19;Ryanair;1;17.29;11:30;London STNLondon (Stansted) STN;08:15;London STNLondon (Stansted) STN FR7383
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;17.81;07:15;Copenhagen CPH;14:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;08/05/19;Ryanair;1;17.29;11:25;London STNLondon (Stansted) STN;08:15;London STNLondon (Stansted) STN FR7383
2019-04-23;12:44;Denmark;Denmark;2;13/05/19;Ryanair;1;17.81;12:55;Aarhus AAR;20:50;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;05/06/19;Ryanair;1;17.29;15 Co;enhagen CPH;20:50;Copenhagen CPH U25687
2019-04-23;12:44;Denmark;Denmark;2;05/06/19;Ryanair;1;12.86;07:15;Copenhagen CPH;14:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;12/06/19;Ryanair;1;17.29;55 Aa;hus AAR;14:05;Aarhus AAR FR712
2019-04-23;12:44;Denmark;Denmark;2;22/05/19;Ryanair;1;30.30;19:40;Berlin TXLBerlin (Tegel) TXL;14:10;Berlin TXLBerlin (Tegel) TXL U25678
2019-04-23;12:44;Denmark;Denmark;2;22/05/19;Ryanair;1;11.53;55 Aa;hus AAR;20:50;Copenhagen CPH U25687
2019-04-23;12:44;Denmark;Denmark;2;28/05/19;Ryanair;1;9.78;19:40;Berlin TXLBerlin (Tegel) TXL;14:10;Berlin TXLBerlin (Tegel) TXL U25678
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;14.99;07:15;Copenhagen CPH;14:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;15/05/19;Ryanair;1;30.30;11:25;London STNLondon (Stansted) STN;08:15;London STNLondon (Stansted) STN FR7383
2019-04-23;12:44;Denmark;Denmark;2;22/05/19;Ryanair;1;11.53;12:55;Aarhus AAR;20:50;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;16/06/19;Ryanair;1;9.78;15 Co;enhagen CPH;20:50;Copenhagen CPH U25687
2019-04-23;12:44;Denmark;Denmark;2;16/06/19;Ryanair;1;14.99;07:15;Copenhagen CPH;14:05;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;20/06/19;easyJet;1;1.40;15 Co;enhagen CPH;14:05;Aarhus AAR FR712
2019-04-23;12:44;Denmark;Denmark;2;15/06/19;easyJet;1;18.15;12:35;London STNLondon (Stansted) STN;08:15;London STNLondon (Stansted) STN FR7383
2019-04-23;12:44;Denmark;Denmark;2;15/06/19;easyJet;1;10.19;35 Aa;borg AAL;15:10;Aalborg AAL FR1251
2019-04-23;12:44;Denmark;Denmark;2;20/06/19;easyJet;1;18.15;19:00;London STNLondon (Stansted) STN;16:20;London STNLondon (Stansted) STN FR1252
2019-04-23;12:44;Denmark;Denmark;2;08/06/19;Ryanair;1;5.22;07:30;Copenhagen CPH;11:45;Aarhus AAR
2019-04-23;12:44;Denmark;Denmark;2;08/06/19;Ryanair;1;31.99;10:30;Berlin TXLBerlin (Tegel) TXL;08:45;Berlin TXLBerlin (Tegel) TXL U25680
2019-04-23;12:44;Denmark;Denmark;2;13/06/19;Ryanair;1;5.22;12:55;Aarhus AAR;20:50;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;05/06/19;Ryanair;1;24.70;55 Aa;hus AAR;20:50;Copenhagen CPH U25687
2019-04-23;12:44;Denmark;Denmark;2;05/06/19;Ryanair;1;5.22;12:55;Aarhus AAR;20:50;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;13/06/19;Ryanair;1;31.99;30 Co;enhagen CPH;20:50;Copenhagen CPH U25687
2019-04-23;12:44;Denmark;Denmark;2;05/06/19;Ryanair;1;5.22;10:30;Berlin TXLBerlin (Tegel) TXL;08:45;Berlin TXLBerlin (Tegel) TXL U25680
2019-04-23;12:44;Denmark;Denmark;2;05/06/19;Ryanair;1;24.70;35 Aa;borg AAL;11:45;Aarhus AAR U25677
2019-04-23;12:44;Denmark;Denmark;2;12/06/19;Ryanair;1;5.22;19:35;London STNLondon (Stansted) STN;16:20;London STNLondon (Stansted) STN FR1252
2019-04-23;12:44;Denmark;Denmark;2;05/06/19;Ryanair;1;23.52;10:20;Billund BLL;15:10;Aalborg AAL
2019-04-23;12:44;Denmark;Denmark;2;05/06/19;Ryanair;1;23.47;12:35;London STNLondon (Stansted) STN;10:55;London STNLondon (Stansted) STN FR5173
2019-04-23;12:44;Denmark;Denmark;2;11/06/19;Ryanair;1;14.99;07:30;Copenhagen CPH;20:50;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;17/06/19;easyJet;1;1.40;40 Co;enhagen CPH;20:50;Copenhagen CPH U25687
2019-04-23;12:44;Denmark;Denmark;2;17/06/19;easyJet;1;18.15;08:40;Copenhagen CPH;20:20;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;22/06/19;Ryanair;1;14.60;15 Aa;borg AAL;20:20;Copenhagen CPH FR301
2019-04-23;12:44;Denmark;Denmark;2;08/06/19;Ryanair;1;14.99;14:00;London STNLondon (Stansted) STN;12:00;London STNLondon (Stansted) STN FR1252
2019-04-23;12:44;Denmark;Denmark;2;08/06/19;Ryanair;1;14.60;15 Co;enhagen CPH;16:45;Copenhagen CPH FR7382
2019-04-23;12:44;Denmark;Denmark;2;15/06/19;Ryanair;1;14.99;12:35;London STNLondon (Stansted) STN;08:15;London STNLondon (Stansted) STN FR7383
2019-04-23;12:44;Denmark;Denmark;2;07/06/19;easyJet;1;1.40;08:40;Copenhagen CPH;21:40;Billund BLL
2019-04-23;12:44;Denmark;Denmark;2;07/06/19;easyJet;1;18.15;20:30;Berlin SXFBerlin (Schonefeld) SXF;09:45;Berlin SXFBerlin (Schonefeld) SXF U24554
2019-04-23;12:44;Denmark;Denmark;2;15/06/19;Ryanair;1;14.60;10:20;Billund BLL;17:05;Copenhagen CPH
2019-04-23;12:44;Denmark;Denmark;2;15/06/19;Ryanair;1;14.99;50 Co;enhagen CPH;17:05;Copenhagen CPH FR7382
2019-04-23;12:44;Denmark;Denmark;2;15/06/19;easyJet;1;1.40;16:50;Copenhagen CPH;21:40;Billund BLL
2019-04-23;12:44;Denmark;Denmark;2;22/06/19;easyJet;1;18.15;20 Bi;lund BLL;21:40;Billund BLL FR1704
2019-04-23;12:44;Denmark;Denmark;2;14/06/19;easyJet;1;1.40;14:20;London STNLondon (Stansted) STN;10:55;London STNLondon (Stansted) STN FR5173
2019-04-23;12:44;Denmark;Denmark;2;14/06/19;easyJet;1;18.15;20 Bi;lund BLL;17:05;Copenhagen CPH FR7382
2019-04-23;12:44;Denmark;Denmark;2;22/06/19;Ryanair;1;14.60;14:10;London STNLondon (Stansted) STN;10:55;London STNLondon (Stansted) STN FR5173
2019-04-23;12:44;Denmark;Denmark;2;15/06/19;Ryanair;1;14.99;16:50;Copenhagen CPH;21:40;Billund BLL
2019-04-23;12:44;Denmark;Denmark;2;15/06/19;easyJet;1;1.40;20:30;Berlin SXFBerlin (Schonefeld) SXF;17:55;Berlin SXFBerlin (Schonefeld) SXF U24556
2019-04-23;12:44;Denmark;Denmark;2;22/06/19;easyJet;1;18.15;10:20;Billund BLL;16:55;Copenhagen CPH
