Data; Przewoznik; Czy_przesiadka; Cena; Godzina_odlotu; Miejsce_odlotu; Godzina_przylotu; Miejsce_przylotu
5; France; Bordeaux BOD; 07:25; Nantes NTE
21/05/19; Ryanair; 0; 12.99; 08:05; France; Nantes NTE; 09:50; Marseille MRS
28/05/19; Ryanair; 0; 12.99; 06:05; France; Marseille MRS; 07:40; Nantes NTE
21/05/19; Ryanair; 1; 12.99; 08:05; Nantes NTE; 12:45; Bordeaux BOD
21/05/19; Ryanair; 1; 11.01; 11:30; France; Marseille MRS; 09:50; Marseille MRS FR6477
29/05/19; Ryanair; 1; 1.99; 06:25; France; Bordeaux BOD; 07:25; Nantes NTE
22/05/19; Ryanair; 1; 1.99; 07:50; Nantes NTE; 14:25; Marseille MRS
22/05/19; Ryanair; 1; 11.01; 13:10; France; Bordeaux BOD; 08:50; Bordeaux BOD FR6550
28/05/19; Ryanair; 1; 12.99; 06:05; France; Marseille MRS; 07:40; Nantes NTE
29/04/19; Ryanair; 0; 9.99; 17:00; France; Limoges LIG; 17:40; Bristol BRS
06/05/19; Ryanair; 0; 17.33; 14:00; France; Bristol BRS; 16:35; Limoges LIG
17/05/19; Ryanair; 1; 4.99; 07:55; Nantes NTE; 21:15; Valencia VLC
17/05/19; Ryanair; 1; 9.99; 19:55; France; Bordeaux BOD; 08:55; Bordeaux BOD FR6550
23/05/19; Ryanair; 1; 12.99; 06:05; France; Valencia VLC; 07:45; Nantes NTE
21/05/19; Ryanair; 0; 12.99; 10:50; France; Paris BVAParis (Beauvais) BVA; 12:40; Zaragoza ZAZ
25/05/19; Ryanair; 0; 14.99; 13:05; France; Zaragoza ZAZ; 14:55; Paris BVAParis (Beauvais) BVA
08/05/19; Ryanair; 0; 12.99; 12:50; France; Beziers BZR; 13:50; Bristol BRS
15/05/19; Ryanair; 0; 15.02; 09:30; France; Bristol BRS; 12:25; Beziers BZR
13/06/19; Ryanair; 0; 12.99; 17:25; France; Rodez RDZ; 18:05; London STNLondon (Stansted) STN
20/06/19; Ryanair; 0; 15.02; 14:20; France; London STNLondon (Stansted) STN; 17:00; Rodez RDZ
08/05/19; Ryanair; 0; 12.99; 14:40; France; Beziers BZR; 15:40; London STNLondon (Stansted) STN
15/05/19; Ryanair; 0; 15.02; 11:25; France; London STNLondon (Stansted) STN; 14:15; Beziers BZR
22/05/19; Ryanair; 0; 12.99; 22:10; France; Lourdes LDELourdes-Tarbes LDE; 23:10; London STNLondon (Stansted) STN
29/05/19; Ryanair; 0; 15.02; 18:45; France; London STNLondon (Stansted) STN; 21:45; Lourdes LDELourdes-Tarbes LDE
08/05/19; Ryanair; 0; 12.99; 09:40; France; Perpignan PGF; 10:50; London STNLondon (Stansted) STN
16/05/19; Ryanair; 0; 15.02; 06:35; France; London STNLondon (Stansted) STN; 09:40; Perpignan PGF
01/05/19; Ryanair; 0; 12.99; 10:50; France; Nimes FNI; 11:45; London STNLondon (Stansted) STN
08/05/19; Ryanair; 0; 15.02; 07:30; France; London STNLondon (Stansted) STN; 10:25; Nimes FNI
02/05/19; Ryanair; 0; 12.99; 17:55; France; Marseille MRS; 19:00; London STNLondon (Stansted) STN
09/05/19; Ryanair; 0; 15.02; 08:00; France; London STNLondon (Stansted) STN; 11:05; Marseille MRS
11/05/19; Ryanair; 1; 9.99; 06:30; Bordeaux BOD; 19:05; Madrid MAD
11/05/19; Ryanair; 1; 10.08; 15:05; France; Ouarzazate OZZ; 07:10; Ouarzazate OZZ FR6640
15/05/19; Volotea; 1; 9.00; 19:15; France; Madrid MAD; 20:45; Bordeaux BOD
08/05/19; Ryanair; 0; 14.99; 10:00; France; Paris BVAParis (Beauvais) BVA; 12:15; Stockholm NYOStockholm (Skavsta) NYO
15/05/19; Ryanair; 0; 14.81; 07:15; France; Stockholm NYOStockholm (Skavsta) NYO; 09:35; Paris BVAParis (Beauvais) BVA
17/05/19; Laudamotion; 0; 9.99; 07:50; France; Marseille MRS; 09:15; Stuttgart STR
23/05/19; Laudamotion; 1; 9.99; 10:20; Stuttgart STR; 20:35; Marseille MRS
23/05/19; Ryanair; 1; 9.99; 19:20; France; Bologna BLQ; 11:35; Bologna BLQ OE2338
12/05/19; Ryanair; 1; 4.99; 07:35; France; Bordeaux BOD; 14:15; Valencia VLC
20/05/19; Ryanair; 0; 14.99; 45 Va; France; encia VLC; 14:15; Valencia VLC FR5561
14/05/19; Ryanair; 1; 9.99; 15 Ma; seille MRS; 23:05; Bordeaux BOD FR6857
14/05/19; Ryanair; 1; 9.99; 10:15; France; Marseille MRS; 23:05; Stuttgart STR
20/05/19; Laudamotion; 1; 9.99; 50 St; France; ttgart STR; 23:05; Stuttgart STR OE2339
10/05/19; Laudamotion; 0; 9.99; 00 Bo; France; deaux BOD; 08:15; Marseille MRS OE5955
16/05/19; Ryanair; 1; 9.99; 35 Co; ogne CGNCologne-Bonn CGN; 20:45; Cologne CGNCologne-Bonn CGN FR6480
16/05/19; Ryanair; 1; 9.99; 08:35; France; Cologne CGNCologne-Bonn CGN; 23:50; Bordeaux BOD
