Data; Przewoznik; Czy_przesiadka; Cena; Godzina_odlotu; Kraj_odlotu; Miejsce_odlotu; Godzina_przylotu; Miejsce_przylotu
13/05/19; Ryanair; 0; 10.34; 17:05; Germany; Oslo TRFOslo (Torp) TRF; 18:30; Hamburg HAM
21/05/19; Ryanair; 0; 9.99; 15:45; Germany; Dortmund DTM; 16:05; London STNLondon (Stansted) STN
28/05/19; Ryanair; 0; 11.55; 13:00; Germany; London STNLondon (Stansted) STN; 15:20; Dortmund DTM
22/05/19; Ryanair; 0; 9.99; 13:10; Germany; Karlsruhe FKBKarlsruhe-Baden Baden FKB; 13:40; London STNLondon (Stansted) STN
28/05/19; Ryanair; 0; 11.55; 13:50; Germany; London STNLondon (Stansted) STN; 16:15; Karlsruhe FKBKarlsruhe-Baden Baden FKB
15/05/19; Ryanair; 0; 9.99; 15:10; Germany; Cologne CGNCologne-Bonn CGN; 15:50; Bristol BRS
22/05/19; Ryanair; 0; 11.55; 12:10; Germany; Bristol BRS; 14:45; Cologne CGNCologne-Bonn CGN
14/05/19; Ryanair; 0; 9.99; 22:35; Germany; Nuernberg NUE; 23:25; London STNLondon (Stansted) STN
21/05/19; Ryanair; 0; 11.55; 19:30; Germany; London STNLondon (Stansted) STN; 22:10; Nuernberg NUE
07/05/19; Ryanair; 0; 9.99; 15:15; Germany; Memmingen FMM; 15:55; London STNLondon (Stansted) STN
15/05/19; Ryanair; 0; 11.55; 12:05; Germany; London STNLondon (Stansted) STN; 14:50; Memmingen FMM
23/05/19; Ryanair; 0; 9.99; 07:45; Germany; Cologne CGNCologne-Bonn CGN; 08:25; Manchester MAN
29/05/19; Ryanair; 0; 11.55; 09:00; Germany; Manchester MAN; 11:35; Cologne CGNCologne-Bonn CGN
02/05/19; Ryanair; 0; 9.99; 14:35; Germany; Dusseldorf NRNDusseldorf (Weeze) NRN; 15:15; Edinburgh EDI
09/05/19; Ryanair; 0; 11.55; 11:30; Germany; Edinburgh EDI; 14:10; Dusseldorf NRNDusseldorf (Weeze) NRN
17/05/19; Ryanair; 0; 9.99; 21:55; Germany; Cologne CGNCologne-Bonn CGN; 22:15; London STNLondon (Stansted) STN
23/05/19; Ryanair; 0; 11.55; 07:40; Germany; London STNLondon (Stansted) STN; 10:05; Cologne CGNCologne-Bonn CGN
22/05/19; Ryanair; 0; 12.99; 15:40; Germany; Frankfurt FRA; 18:20; Madrid MAD
30/05/19; Ryanair; 0; 8.99; 19:25; Germany; Madrid MAD; 21:55; Frankfurt FRA
13/05/19; Ryanair; 0; 7.01; 10:30; Germany; Frankfurt FRA; 12:50; Valencia VLC
21/05/19; Ryanair; 0; 14.99; 14:00; Germany; Valencia VLC; 16:20; Frankfurt FRA
21/05/19; Laudamotion; 0; 9.99; 09:40; Germany; Stuttgart STR; 11:15; Copenhagen CPH
28/05/19; Laudamotion; 0; 12.86; 11:40; Germany; Copenhagen CPH; 13:15; Stuttgart STR
12/05/19; Ryanair; 0; 12.99; 16:30; Germany; Nuernberg NUE; 18:50; Zadar ZAD
16/05/19; Ryanair; 0; 9.99; 09:45; Germany; Zadar ZAD; 12:05; Nuernberg NUE
